"","x","age","workclass","education","educational.num","marital.status","race","gender","hours.per.week","income"
"47647",47647,39,"Private","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"10947",10947,71,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",6,"<=50K"
"28441",28441,61,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,"<=50K"
"42023",42023,31,"Private","Some-college",10,"Divorced","White","Male",40,"<=50K"
"5373",5373,65,"?","7th-8th",4,"Married-civ-spouse","White","Male",27,"<=50K"
"27532",27532,38,"Private","Some-college",10,"Married-civ-spouse","White","Female",35,"<=50K"
"15275",15275,30,"Local-gov","Masters",14,"Never-married","White","Female",40,"<=50K"
"34570",34570,30,"Private","7th-8th",4,"Married-civ-spouse","White","Male",40,"<=50K"
"25284",25284,25,"Private","HS-grad",9,"Never-married","White","Male",48,"<=50K"
"27792",27792,27,"State-gov","Bachelors",13,"Never-married","White","Male",30,"<=50K"
"4191",4191,46,"Private","11th",7,"Widowed","Black","Male",40,"<=50K"
"45734",45734,38,"Private","Some-college",10,"Married-civ-spouse","White","Female",40,"<=50K"
"20362",20362,19,"?","Some-college",10,"Never-married","White","Male",40,"<=50K"
"23763",23763,83,"Private","HS-grad",9,"Widowed","White","Male",55,"<=50K"
"8947",8947,52,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"4445",4445,36,"Private","9th",5,"Never-married","Black","Female",40,"<=50K"
"38276",38276,26,"Private","HS-grad",9,"Never-married","White","Male",20,"<=50K"
"15205",15205,61,"Private","HS-grad",9,"Divorced","White","Female",38,"<=50K"
"33702",33702,57,"Private","Assoc-acdm",12,"Divorced","Black","Female",40,"<=50K"
"7132",7132,28,"Private","HS-grad",9,"Married-civ-spouse","White","Male",55,"<=50K"
"6380",6380,28,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"27686",27686,47,"Private","Doctorate",16,"Married-civ-spouse","White","Male",50,">50K"
"45943",45943,37,"Private","Some-college",10,"Married-civ-spouse","White","Female",40,"<=50K"
"13220",13220,28,"Private","Some-college",10,"Never-married","White","Male",50,"<=50K"
"25582",25582,42,"Private","HS-grad",9,"Separated","Black","Female",40,"<=50K"
"39989",39989,32,"Private","Some-college",10,"Never-married","White","Male",30,"<=50K"
"5892",5892,36,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"36735",36735,37,"Private","Some-college",10,"Never-married","White","Female",20,"<=50K"
"7562",7562,38,"?","Some-college",10,"Married-civ-spouse","Black","Female",40,"<=50K"
"35441",35441,40,"Private","10th",6,"Divorced","Black","Female",40,"<=50K"
"30128",30128,45,"Private","Bachelors",13,"Divorced","White","Female",50,"<=50K"
"25327",25327,28,"Federal-gov","Bachelors",13,"Never-married","Black","Female",40,"<=50K"
"16288",16288,49,"Private","9th",5,"Married-spouse-absent","Black","Female",16,"<=50K"
"46790",46790,38,"Private","HS-grad",9,"Divorced","Black","Female",32,"<=50K"
"11800",11800,40,"Private","Bachelors",13,"Never-married","White","Female",55,"<=50K"
"27803",27803,43,"Private","Bachelors",13,"Married-civ-spouse","Black","Male",40,">50K"
"28495",28495,26,"?","Some-college",10,"Never-married","White","Male",60,"<=50K"
"44223",44223,19,"Private","Some-college",10,"Never-married","White","Male",12,"<=50K"
"46776",46776,27,"Private","HS-grad",9,"Never-married","White","Female",32,"<=50K"
"18676",18676,18,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"39297",39297,42,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"43884",43884,75,"Self-emp-inc","HS-grad",9,"Widowed","Asian-Pac-Islander","Male",35,">50K"
"15082",15082,20,"Private","Some-college",10,"Never-married","White","Male",15,"<=50K"
"19200",19200,33,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,"<=50K"
"37670",37670,24,"Private","Preschool",1,"Never-married","White","Female",30,"<=50K"
"31436",31436,32,"Private","HS-grad",9,"Separated","White","Female",40,"<=50K"
"45645",45645,46,"Self-emp-inc","Prof-school",15,"Married-civ-spouse","White","Male",60,">50K"
"2720",2720,21,"Private","HS-grad",9,"Never-married","White","Male",30,"<=50K"
"33515",33515,25,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"11409",11409,22,"Private","HS-grad",9,"Married-spouse-absent","White","Female",40,"<=50K"
"45106",45106,41,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,">50K"
"18278",18278,49,"Private","HS-grad",9,"Married-civ-spouse","White","Male",60,">50K"
"18758",18758,21,"?","Assoc-voc",11,"Never-married","White","Male",40,"<=50K"
"28534",28534,44,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"26564",26564,27,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"24766",24766,36,"State-gov","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"30200",30200,55,"Private","Bachelors",13,"Widowed","White","Female",40,"<=50K"
"47267",47267,51,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"29914",29914,31,"State-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"1947",1947,29,"Local-gov","Assoc-acdm",12,"Married-civ-spouse","White","Male",72,">50K"
"37571",37571,57,"?","Some-college",10,"Divorced","White","Female",40,"<=50K"
"14190",14190,25,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"41811",41811,45,"Private","Some-college",10,"Separated","White","Male",41,"<=50K"
"21652",21652,90,"Local-gov","Masters",14,"Married-civ-spouse","White","Male",60,">50K"
"45892",45892,60,"Private","7th-8th",4,"Separated","Black","Female",15,"<=50K"
"23937",23937,37,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Female",25,"<=50K"
"34542",34542,42,"Private","Assoc-acdm",12,"Divorced","White","Female",40,"<=50K"
"32870",32870,70,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",35,">50K"
"45606",45606,67,"?","Masters",14,"Widowed","White","Female",40,"<=50K"
"31275",31275,36,"Private","Bachelors",13,"Never-married","White","Female",35,">50K"
"42629",42629,65,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"30075",30075,20,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"18162",18162,24,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"39314",39314,33,"Private","Bachelors",13,"Married-civ-spouse","Black","Male",40,"<=50K"
"4344",4344,33,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",45,">50K"
"921",921,45,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"10791",10791,31,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"22510",22510,24,"Private","HS-grad",9,"Divorced","Amer-Indian-Eskimo","Female",50,"<=50K"
"13404",13404,31,"Private","HS-grad",9,"Divorced","White","Female",34,"<=50K"
"8746",8746,26,"Private","HS-grad",9,"Never-married","White","Female",20,"<=50K"
"20847",20847,55,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"16120",16120,32,"Private","Bachelors",13,"Never-married","White","Female",60,"<=50K"
"30450",30450,66,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"46101",46101,52,"?","HS-grad",9,"Married-civ-spouse","White","Male",35,"<=50K"
"39466",39466,29,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"41512",41512,33,"Private","Bachelors",13,"Separated","White","Male",35,"<=50K"
"4956",4956,39,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"39656",39656,38,"Private","Bachelors",13,"Never-married","White","Male",55,"<=50K"
"8209",8209,67,"Private","Bachelors",13,"Married-civ-spouse","White","Male",8,"<=50K"
"32343",32343,30,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"47977",47977,32,"Self-emp-inc","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"16362",16362,18,"Private","HS-grad",9,"Never-married","White","Male",30,"<=50K"
"7341",7341,28,"Private","7th-8th",4,"Never-married","White","Male",45,"<=50K"
"13169",13169,29,"Self-emp-not-inc","HS-grad",9,"Never-married","White","Male",50,"<=50K"
"14688",14688,23,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"4389",4389,39,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,">50K"
"17407",17407,20,"Private","Assoc-voc",11,"Never-married","White","Female",40,"<=50K"
"32695",32695,49,"Private","HS-grad",9,"Married-civ-spouse","White","Male",38,"<=50K"
"2576",2576,29,"Private","HS-grad",9,"Married-civ-spouse","White","Female",35,"<=50K"
"20596",20596,48,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"29124",29124,24,"Private","Assoc-acdm",12,"Never-married","White","Male",35,"<=50K"
"31560",31560,44,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,">50K"
"39618",39618,71,"?","HS-grad",9,"Widowed","White","Male",24,"<=50K"
"45507",45507,27,"Private","Bachelors",13,"Never-married","White","Male",45,"<=50K"
"23711",23711,28,"Self-emp-not-inc","Masters",14,"Never-married","White","Male",40,"<=50K"
"17840",17840,25,"Private","HS-grad",9,"Never-married","White","Male",65,"<=50K"
"46323",46323,21,"State-gov","Some-college",10,"Never-married","White","Male",40,"<=50K"
"42007",42007,32,"Private","Bachelors",13,"Divorced","White","Male",50,">50K"
"37531",37531,33,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",84,">50K"
"41345",41345,47,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"37101",37101,30,"Private","Bachelors",13,"Never-married","White","Male",45,">50K"
"26045",26045,43,"Private","HS-grad",9,"Divorced","White","Female",50,"<=50K"
"4780",4780,37,"Private","Some-college",10,"Married-civ-spouse","White","Male",39,"<=50K"
"9894",9894,45,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",48,">50K"
"29900",29900,33,"Private","Assoc-voc",11,"Never-married","Black","Male",40,"<=50K"
"42726",42726,43,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"10566",10566,27,"Private","Bachelors",13,"Never-married","White","Female",30,"<=50K"
"124",124,41,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"40104",40104,20,"?","Some-college",10,"Never-married","Other","Female",35,"<=50K"
"29797",29797,34,"?","11th",7,"Never-married","White","Male",30,"<=50K"
"40894",40894,22,"Private","HS-grad",9,"Never-married","White","Male",50,"<=50K"
"30720",30720,44,"Self-emp-not-inc","HS-grad",9,"Never-married","White","Male",40,">50K"
"24216",24216,43,"Private","Some-college",10,"Married-civ-spouse","White","Male",48,"<=50K"
"31185",31185,79,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"46787",46787,23,"Private","Some-college",10,"Never-married","White","Female",48,"<=50K"
"22356",22356,55,"Private","11th",7,"Widowed","White","Female",40,"<=50K"
"24427",24427,41,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"48487",48487,19,"Private","12th",8,"Never-married","White","Female",15,"<=50K"
"12343",12343,33,"Private","Some-college",10,"Divorced","White","Female",55,"<=50K"
"10757",10757,70,"?","Some-college",10,"Married-civ-spouse","Black","Male",20,">50K"
"40155",40155,40,"Private","Doctorate",16,"Married-civ-spouse","White","Male",45,"<=50K"
"392",392,31,"Private","HS-grad",9,"Never-married","Black","Male",40,"<=50K"
"16263",16263,51,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"14745",14745,24,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"31512",31512,54,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"199",199,19,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"8883",8883,45,"Private","Assoc-acdm",12,"Divorced","White","Female",56,">50K"
"4078",4078,24,"Private","Some-college",10,"Never-married","White","Female",25,"<=50K"
"10414",10414,62,"Private","11th",7,"Divorced","Black","Female",40,"<=50K"
"47908",47908,61,"Local-gov","HS-grad",9,"Widowed","White","Female",40,"<=50K"
"19639",19639,24,"Private","Some-college",10,"Never-married","White","Female",52,"<=50K"
"30717",30717,39,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",70,"<=50K"
"14308",14308,38,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"19761",19761,46,"State-gov","Masters",14,"Never-married","White","Female",38,"<=50K"
"27697",27697,19,"Private","HS-grad",9,"Never-married","White","Female",35,"<=50K"
"40813",40813,46,"Private","HS-grad",9,"Separated","White","Female",50,"<=50K"
"10004",10004,31,"Private","Some-college",10,"Separated","White","Female",40,"<=50K"
"48590",48590,37,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"21669",21669,24,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"24956",24956,41,"Self-emp-not-inc","Assoc-voc",11,"Married-civ-spouse","White","Male",70,">50K"
"25934",25934,44,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Male",45,">50K"
"3477",3477,18,"Private","11th",7,"Never-married","Black","Male",8,"<=50K"
"5875",5875,45,"Private","Some-college",10,"Married-civ-spouse","White","Male",60,">50K"
"10183",10183,21,"Private","Some-college",10,"Never-married","White","Female",35,"<=50K"
"28188",28188,45,"Local-gov","Masters",14,"Never-married","White","Male",50,">50K"
