content,subject,difficulty,option_a,option_b,option_c,option_d,correct_answer,explanation,campus_name
"확률에서 동전 두 개를 던져 모두 앞면이 나올 확률은?",math,medium,1/2,1/3,1/4,1/8,c,"각각 1/2 확률이므로 1/2 × 1/2 = 1/4","플라토 목동점"
"The homework ___ by the students yesterday.",english,high,finished,"was finished",finishing,finish,b,"수동태 과거형은 was/were + 과거분사","플라토 목동점"
"벤다이어그램에서 A∪B는?",math,medium,"A와 B의 교집합","A와 B의 합집합","A에서 B를 뺀 것","전체집합",b,"∪는 합집합 기호입니다.","플라토 강남점"
"I wish I ___ speak Chinese.",english,high,can,could,will,would,b,"wish 다음에는 could를 사용합니다.","플라토 강남점"
"다음 중 최대공약수가 6인 두 수는?",math,medium,"12와 18","8과 12","15와 21","10과 15",a,"gcd(12,18) = 6입니다.","플라토 강남점"
"The book ___ I read yesterday was interesting.",english,high,who,which,where,when,b,"사물을 받는 관계대명사는 which입니다.","플라토 강남점"
"행렬의 곱셈에서 2×3 행렬과 곱할 수 있는 행렬은?",math,high,2×2,3×2,3×3,2×3,c,"앞 행렬의 열의 수와 뒤 행렬의 행의 수가 같아야 함","플라토 서초점"
"Neither John ___ Mary came to the party.",english,high,or,nor,and,but,b,"Neither A nor B 구문입니다.","플라토 서초점"
"복소수 i²의 값은?",math,high,-1,1,i,-i,a,"허수 단위 i의 제곱은 -1입니다.","플라토 서초점"
"He suggested ___ a movie tonight.",english,high,"to watch",watching,watch,watched,b,"suggest 다음에는 동명사를 사용합니다.","플라토 서초점"
"조합 C(5,2)의 값은?",math,medium,5,10,15,20,b,"C(5,2) = 5!/(2!×3!) = 10","플라토 서초점"
"The man ___ car was stolen called the police.",english,high,who,whose,which,that,b,"소유를 나타내는 관계대명사는 whose입니다.","플라토 서초점"
"다음 중 기함수는?",math,high,y=x²,y=x³,y=|x|,y=x²+1,b,"기함수는 f(-x) = -f(x)를 만족합니다.","플라토 분당점"
"I'd rather you ___ here.",english,high,stay,stayed,staying,"to stay",b,"would rather 다음에는 과거형을 사용합니다.","플라토 분당점"
"시그마 표기법에서 Σ(k=1 to 3) k²은?",math,medium,6,14,36,9,b,"1² + 2² + 3² = 1 + 4 + 9 = 14","플라토 분당점"
"It's time you ___ your homework.",english,high,do,did,done,doing,b,"It's time 다음에는 과거형을 사용합니다.","플라토 분당점"
"쌍곡선의 일반형에서 중심이 원점인 경우는?",math,high,"x²/a² - y²/b² = 1","x²/a² + y²/b² = 1","(x-h)²/a² - (y-k)²/b² = 1","y = ax + b",a,"표준형 쌍곡선은 x²/a² - y²/b² = 1입니다.","플라토 분당점"
"Scarcely had he arrived ___ it started raining.",english,high,when,than,before,after,a,"Scarcely had ... when 구문입니다.","플라토 판교점"
"극한값 lim(x→0) sin x/x는?",math,high,0,1,-1,∞,b,"중요한 극한으로 값이 1입니다.","플라토 판교점"
"Not only did she pass the exam ___ she got the highest score.",english,high,and,but,or,so,b,"Not only ... but also 구문입니다.","플라토 판교점"
"다음 중 발산하는 급수는?",math,high,"Σ(1/2ⁿ)","Σ(1/n²)","Σ(1/n)","Σ((-1)ⁿ/n)",c,"조화급수 Σ(1/n)는 발산합니다.","플라토 판교점"
"Were it not for your help, I couldn't have done it.",english,high,"This is a conditional sentence","This is a passive voice","This is a subjunctive mood","This is a comparative",c,"were it not for는 가정법 구문입니다.","플라토 판교점"
"편미분에서 ∂/∂x(x²y)는?",math,high,2xy,x²,2y,y,a,"x에 대한 편미분이므로 y는 상수 취급합니다.","플라토 목동점"
"Little did I know that he was lying.",english,high,"I knew a little","I didn't know at all","I knew everything","I knew something",b,"Little did는 강한 부정을 나타냅니다.","플라토 목동점"
"벡터의 내적에서 a⃗·b⃗ = |a⃗||b⃗|cos θ에서 θ는?",math,high,"두 벡터 사이의 각","벡터의 크기","단위벡터","영벡터",a,"θ는 두 벡터가 이루는 각입니다.","플라토 목동점"
"So difficult was the problem that nobody could solve it.",english,high,"The problem was very difficult","The problem was easy","Nobody tried to solve it","Everyone solved it",a,"So + 형용사 도치 구문으로 매우 어려웠다는 의미","플라토 목동점"
"테일러 급수에서 eˣ의 전개식은?",math,high,"Σ(xⁿ/n!)","Σ((-1)ⁿx^(2n)/(2n)!)","Σ((-1)ⁿx^(2n+1)/(2n+1)!)","Σ(xⁿ)",a,"eˣ = Σ(n=0 to ∞) xⁿ/n!","플라토 목동점"
"Much as I like him, I can't support his idea.",english,high,"I like him very much","I don't like him","I partially like him","I hate him",a,"Much as는 '비록 ~하지만'의 양보 구문","플라토 목동점"
"다음 중 수렴반경이 1인 멱급수는?",math,high,"Σ(xⁿ)","Σ(xⁿ/2ⁿ)","Σ(2ⁿxⁿ)","Σ(xⁿ/n)",a,"Σ(xⁿ)의 수렴반경은 1입니다.","플라토 강남점"
"Never have I seen such a beautiful sunset.",english,high,"I have never seen it","I have seen it many times","I saw it yesterday","I will see it tomorrow",a,"Never 도치 구문으로 한 번도 본 적이 없다는 의미","플라토 강남점"
"라플라스 변환에서 L{1}는?",math,high,1/s,s,1,0,a,"상수 1의 라플라스 변환은 1/s입니다.","플라토 강남점"
"Only when you try hard can you succeed.",english,high,"You must try hard","You don't need to try","Success is guaranteed","Trying is useless",a,"Only when 도치 구문으로 열심히 해야만 성공할 수 있다는 의미","플라토 강남점"
"페르마의 마지막 정리에서 n > 2일 때 xⁿ + yⁿ = zⁿ의 해는?",math,high,"무수히 많다","정확히 하나","존재하지 않는다","두 개",c,"페르마의 마지막 정리: n>2일 때 자연수 해는 존재하지 않음","플라토 서초점"
"Rarely does she come to school late.",english,high,"She often comes late","She never comes late","She seldom comes late","She always comes on time",c,"Rarely는 '드물게'라는 의미로 거의 늦지 않는다","플라토 서초점"
"리만 가설은 다음 중 어느 분야와 관련이 있는가?",math,high,"정수론","기하학","확률론","집합론",a,"리만 가설은 소수의 분포와 관련된 정수론 문제입니다.","플라토 서초점"
"Had I known about it, I would have come earlier.",english,high,"I knew about it","I didn't know about it","I will know about it","I might know about it",b,"Had I known은 과거완료 가정법으로 몰랐다는 의미","플라토 서초점"
"괴델의 불완전성 정리가 증명한 것은?",math,high,"모든 명제는 증명가능하다","수학은 모순이 없다","충분히 복잡한 체계는 불완전하다","집합론은 완전하다",c,"괴델은 수학 체계의 근본적 한계를 증명했습니다.","플라토 분당점"
"Under no circumstances should you give up.",english,high,"You may give up sometimes","You should never give up","You can give up easily","Giving up is recommended",b,"Under no circumstances는 '어떤 상황에서도 ~하지 말라'","플라토 분당점"
"카오스 이론에서 나비효과란?",math,high,"초기조건의 민감성","선형성","예측가능성","안정성",a,"작은 변화가 큰 결과를 가져오는 초기조건 민감성","플라토 분당점"
"Little wonder that he failed the exam.",english,high,"It's surprising he failed","It's not surprising he failed","He passed the exam","He didn't take the exam",b,"Little wonder는 '놀랄 것도 없다'는 의미","플라토 분당점"
"P vs NP 문제는 다음 중 어느 분야의 문제인가?",math,high,"계산복잡도 이론","미분방정식","확률론","선형대수",a,"P vs NP는 컴퓨터과학의 계산복잡도 이론 문제","플라토 판교점"
"Such was his anger that he couldn't speak.",english,high,"He was a little angry","He was extremely angry","He wasn't angry","He was happy",b,"Such was는 강조 구문으로 매우 화가 났다는 의미","플라토 판교점"
"양자역학에서 하이젠베르크 불확정성 원리는?",math,high,"위치와 운동량을 동시에 정확히 측정할 수 없다","모든 것을 정확히 측정할 수 있다","시간은 절대적이다","공간은 평평하다",a,"위치와 운동량의 동시 정밀 측정은 원리적으로 불가능","플라토 판교점"
"Seldom have I encountered such rudeness.",english,high,"I often encounter it","I never encounter it","I rarely encounter it","I always encounter it",c,"Seldom은 '좀처럼 ~하지 않다'는 의미","플라토 판교점"
"끈 이론에서 우주의 차원 수는?",math,high,3차원,4차원,11차원,26차원,c,"M-이론에서는 11차원으로 예측됩니다.","플라토 목동점"
"Not until midnight did he return home.",english,high,"He returned before midnight","He returned at midnight","He never returned","He returned in the morning",b,"Not until은 '~까지는 하지 않았다'는 의미로 자정에 돌아옴","플라토 목동점"
"암흑물질이 전체 우주에서 차지하는 비율은 약?",math,high,5%,27%,68%,100%,b,"암흑물질은 우주의 약 27%를 차지한다고 추정됩니다.","플라토 목동점"
"So steep was the mountain that we couldn't climb it.",english,high,"The mountain was gentle","The mountain was very steep","We climbed the mountain","The mountain was small",b,"So steep 도치 구문으로 산이 매우 가팔랐다는 의미","플라토 목동점"
